id,user_id,opp_id,user_strat,opp_strat,complete,seen_bit,created_at,updated_at,stage_id,user_time_left,opp_time_left,user_history,opp_history,fb_friend,same_parity,mutual_friends
362,2,2,t,f,t,t,1.065020486,1.065139653,1,,,,,f,t,
364,9,2,,f,f,f,1.065850787,1.065850995,2,,,,,,,
470,19,19,f,f,t,t,1.271161875,1.27131191,1,,,,,f,t,
471,19,19,f,f,t,t,1.27137125,1.271436285,1,,,,,f,t,
367,12,2,,f,f,f,1.066281204,1.066281551,3,,,,,,,
472,19,19,f,t,t,t,1.271495023,1.27155713,1,,,,,f,t,
473,19,19,f,f,t,t,1.271616898,1.271710104,1,,,,,f,t,
474,19,19,f,t,t,t,1.271768935,1.271819109,1,,,,,f,t,
374,12,2,,f,f,f,1.088571782,1.088571956,4,,,,,,,
475,19,19,t,f,t,t,1.271878171,1.271983669,1,,,,,f,t,
476,19,19,f,f,t,t,1.2720425,1.272850602,1,,,,,f,t,
1308,80,80,f,f,t,t,1.711861736,1.712687049,1,,,,,f,t,
643,33,33,f,f,t,t,1.391019769,1.391876042,1,,,,,f,t,
369,4,2,f,f,t,t,1.071967951,1.627807361,5,202,89,0,20,t,t,50
384,10,2,,f,f,f,1.106546701,1.106547002,2,,,,,,,
485,4,19,f,t,t,f,1.284503264,1.622878738,2,246,222,0,100,f,f,3
487,14,19,f,t,t,f,1.284900359,4.544558542,5,229,216,0,0,f,f,1
477,19,19,f,f,t,t,1.272909444,1.283267917,1,,,,,f,t,
387,10,2,,f,f,f,1.106992269,1.106992465,3,,,,,,,
482,19,19,f,t,t,t,1.283329444,1.283447373,1,,,,,f,t,
388,6,2,,t,f,f,1.107061748,1.107061921,3,,,,,,,
390,7,2,,f,f,f,1.107166076,1.107166412,3,,,,,,,
496,20,20,f,t,t,t,1.304993368,1.305153588,1,,,,,f,t,
392,16,16,t,t,t,t,1.10839338,1.10994816,1,,,,,f,t,
393,16,16,t,t,t,t,1.110008021,1.110167106,1,,,,,f,t,
394,16,16,f,f,t,t,1.110226898,1.110282442,1,,,,,f,t,
395,16,16,f,t,t,t,1.110343287,1.110540162,1,,,,,f,t,
483,19,19,t,f,t,t,1.283507014,1.284222083,1,,,,,f,t,
441,4,11,f,f,t,t,1.239159398,2.061271146,6,192,134,0,0,t,f,13
377,4,2,f,f,t,t,1.088827662,1.628223148,6,179,76,0,0,t,t,50
486,17,19,,t,f,f,1.284818519,1.284818634,6,,,,,,,
13769,366,366,f,f,t,t,3.250558356,3.250598912,1,,,,,f,t,
430,17,2,,f,f,f,1.230889028,1.230889502,2,,,,,,,
431,17,2,,f,f,f,1.230978866,1.230979028,3,,,,,,,
389,14,2,f,f,t,t,1.107125301,4.634309931,3,150,0,0,0,f,t,25
488,17,19,,t,f,f,1.284970012,1.284970243,4,,,,,,,
432,17,2,,f,f,f,1.231071134,1.231071308,4,,,,,,,
437,4,11,f,f,t,t,1.237171933,2.060778553,2,247,138,0,0,t,f,13
433,9,2,,f,f,f,1.234053924,1.234054132,6,,,,,,,
489,7,19,,t,f,f,1.285031991,1.285032164,3,,,,,,,
434,13,2,,f,f,f,1.235979178,1.235979514,2,,,,,,,
484,19,19,t,f,t,t,1.284283935,1.285186319,1,,,,,f,t,
435,9,11,,f,f,f,1.236980532,1.236980706,2,,,,,,,
490,19,19,f,f,f,f,1.2852475,1.2852475,1,,,,,,,
436,12,11,,f,f,f,1.237064491,1.237064676,2,,,,,,,
480,19,2,t,f,t,t,1.277588912,1.296026111,4,235,138,0,0,t,f,49
398,16,2,t,f,t,t,1.111567141,2.555441921,3,190,72,0,20,t,t,81
491,19,2,,t,f,f,1.296100579,1.296100671,4,,,,,,,
439,9,11,,f,f,f,1.237399815,1.237399988,3,,,,,,,
478,19,2,t,f,t,t,1.277289942,1.296122245,2,250,136,0,0,t,f,49
381,14,2,f,f,t,t,1.106346169,4.631417187,2,183,4,0,0,f,t,25
442,3,3,f,f,f,f,1.240844595,1.240844595,1,,,,,,,
492,19,2,,f,f,f,1.296209861,1.296209977,2,,,,,,,
382,3,2,f,t,t,t,1.106361412,1.243339711,2,257,157,0,0,f,f,1
399,16,2,t,f,t,t,1.111767639,2.555559051,4,203,73,0,20,t,t,81
493,19,2,,t,f,f,1.296280255,1.296280359,6,,,,,,,
396,16,16,t,f,t,t,1.110602465,2.539397558,1,,,,,f,t,
445,12,2,,f,f,f,1.243499225,1.243499398,2,,,,,,,
494,19,2,,t,f,f,1.296358958,1.296359317,5,,,,,,,
446,8,2,,f,f,f,1.243550613,1.243550787,2,,,,,,,
479,19,2,t,f,t,t,1.277365058,1.303370521,3,244,137,0,0,t,f,49
495,20,20,f,t,t,t,1.303852905,1.304934757,1,,,,,f,t,
497,20,20,f,f,t,t,1.305212338,1.305318287,1,,,,,f,t,
397,16,2,f,f,t,t,1.111455093,2.555338449,2,246,77,0,0,t,t,81
499,7,20,,f,f,f,1.306301539,1.306301632,2,,,,,,,
402,3,2,f,t,t,t,1.114640799,1.247508183,3,258,151,0,0,f,f,1
363,2,2,t,t,t,t,1.065274711,1.25070397,1,,,,,f,t,
400,1,2,f,f,t,t,1.112556597,1.261055498,6,208,149,0,0,t,f,15
372,1,2,t,f,t,t,1.088306331,1.261106528,5,229,142,100,0,t,f,15
501,6,20,,t,f,f,1.306584317,1.306584421,4,,,,,,,
502,9,20,,f,f,f,1.30685684,1.306857014,5,,,,,,,
498,20,20,t,t,t,t,1.305376875,1.307077257,1,,,,,f,t,
504,20,20,f,t,t,t,1.307135833,1.308131134,1,,,,,f,t,
505,20,20,t,f,t,t,1.308190938,1.309102014,1,,,,,f,t,
506,20,20,f,f,t,t,1.309160799,1.30923147,1,,,,,f,t,
507,20,20,f,f,t,t,1.309290266,1.309332407,1,,,,,f,t,
508,20,20,f,t,t,t,1.30939103,1.309908206,1,,,,,f,t,
509,20,20,f,f,t,t,1.30996706,1.311067419,1,,,,,f,t,
511,20,20,f,f,f,f,1.311126424,1.311126424,1,,,,,,,
510,20,2,f,f,t,t,1.310907049,1.311988241,2,250,137,0,0,t,t,50
513,20,2,t,f,t,t,1.312120046,1.313202292,4,237,134,0,100,t,t,50
512,20,2,t,f,t,t,1.311191817,1.313126019,3,246,133,0,20,t,t,50
515,20,2,t,t,t,t,1.313522187,1.322099398,5,218,134,0,0,t,t,50
1309,80,80,f,t,t,t,1.712749294,1.712909167,1,,,,,f,t,
519,19,20,,t,f,f,1.314079479,1.314079595,6,,,,,,,
518,21,21,t,t,t,t,1.314066759,1.31491537,1,,,,,f,t,
520,21,21,f,t,t,t,1.314974907,1.315027095,1,,,,,f,t,
521,21,21,f,t,t,t,1.315086019,1.315143275,1,,,,,f,t,
415,10,2,,f,f,f,1.167350972,1.167351157,6,,,,,,,
522,21,21,f,t,t,t,1.315202176,1.315238194,1,,,,,f,t,
417,7,2,,f,f,f,1.167493704,1.1674939,2,,,,,,,
503,16,20,t,f,t,t,1.307011551,6.330946169,6,147,212,0,100,t,t,38
523,21,21,t,t,t,t,1.315297755,1.315327083,1,,,,,f,t,
419,6,2,,f,f,f,1.167582234,1.167582407,2,,,,,,,
525,8,21,,f,f,f,1.315603646,1.315603738,2,,,,,,,
646,34,34,t,f,t,t,1.392950486,1.393610556,1,,,,,f,t,
424,17,17,f,t,t,t,1.183159329,1.184923368,1,,,,,f,t,
425,17,17,f,t,t,t,1.184983067,1.185124456,1,,,,,f,t,
426,17,17,t,t,t,t,1.185183762,1.185309942,1,,,,,f,t,
427,17,17,t,t,t,t,1.185369352,1.185423252,1,,,,,f,t,
428,17,17,f,t,f,f,1.185482743,1.185482743,1,,,,,,,
698,11,1,f,f,t,t,1.398447685,1.532660671,4,178,127,0,0,f,t,1
429,7,17,,f,f,f,1.187116354,1.187116539,2,,,,,,,
649,9,33,,f,f,f,1.394362639,1.394362824,2,,,,,,,
644,33,33,f,t,t,t,1.391937731,1.394656609,1,,,,,f,t,
453,18,18,t,t,t,t,1.244521794,1.245528148,1,,,,,f,t,
454,18,18,t,f,t,t,1.245587801,1.245794086,1,,,,,f,t,
455,18,18,t,t,t,t,1.245852905,1.245968495,1,,,,,f,t,
456,18,18,f,f,t,t,1.246027593,1.246063866,1,,,,,f,t,
457,18,18,t,t,t,t,1.246123275,1.2468411,1,,,,,f,t,
458,18,18,f,f,f,f,1.246900718,1.246900718,1,,,,,,,
650,33,33,t,t,t,t,1.39472184,1.394808646,1,,,,,f,t,
1749,100,100,f,t,t,t,2.291179201,2.291499514,1,,,,,f,t,
462,2,2,f,t,t,t,1.250764074,1.250806273,1,,,,,f,t,
651,33,33,t,f,t,t,1.394870116,1.394961852,1,,,,,f,t,
2448,119,110,,t,f,f,2.481131632,2.481131852,3,,,,,,,
642,32,32,f,t,f,f,1.389844155,1.389844155,1,,,,,,,
469,8,2,,f,f,f,1.262840058,1.262840197,3,,,,,,,
517,20,2,t,f,t,t,1.313704097,1.322047963,2,224,133,0,20,t,t,50
516,20,2,t,t,t,t,1.313609074,1.322130833,6,217,133,0,0,t,t,50
652,33,33,f,t,t,t,1.395024294,1.395078715,1,,,,,f,t,
653,33,33,f,f,t,t,1.395140845,1.395256134,1,,,,,f,t,
463,2,2,f,t,t,t,1.250866632,1.330607558,1,,,,,f,t,
654,33,33,f,t,f,f,1.395318241,1.395318241,1,,,,,,,
404,11,11,f,t,t,t,1.140906458,1.485594664,1,,,,,f,t,
418,1,2,f,f,t,t,1.16752713,1.38008,2,195,34,0,20,t,f,15
412,5,2,f,f,t,t,1.157462014,1.399184225,4,248,244,0,20,t,f,14
